PHARM 4360A/B|MECHANISMS OF CANCER CHEMOTHERAPY||Pharmacology 3620, or Physiology 3140A, or permission of the Department.|This course is designed to give students a basic understanding of the molecular pharmacology and therapeutic properties of anticancer agents. The focus is on molecular mechanisms of cancer chemotherapy, and will include drug resistance and the roles of receptor kinases and G protein-coupled receptors in existing and novel cancer therapies.|Western Main Campus|2 lecture hours.
PHARM 4350A/B|CLINICAL PHARMACOLOGY||Pharmacology 3620.|Clinical pharmacology is a scientific and medical discipline dedicated to the bench-to-bedside study of drug action through an in-depth knowledge of human pharmacology and therapeutics. This course in clinical pharmacology focuses on fundamental concepts highlighted with examples from clinical cases, therapeutic applications and relevance to drug discovery and development.|Western Main Campus|2 lecture hours.
PHARM 4340A/B|GENE EXPRESSION PATHWAYS IN DRUG DISCOVERY||Biochemistry 2280A and registration in Year 4, or permission of the Department.|This course explores how drugs and endogenous compounds mediate their biological effects through nuclear signalling pathways. The emphasis will be on aspects of gene regulation and signalling by nuclear hormone receptors -   a family of ligand dependent transcription factors essential for normal metabolism, development and reproduction.|Western Main Campus|2 lecture hours.
PHARM 4320A/B|CARDIOVASCULAR PHARMACOLOGY||Pharmacology 3620 and either Physiology and Pharmacology 3000E or the former Pharmacology 3580Z; or Physiology 3120; or Pharmacology 3620 and registration in Year 4 of a module in Pathology.|Basic principles of cardiovascular pharmacology with particular emphasis on cellular mechanisms of drug action and mechanisms of therapeutic efficacy in disease states.|Western Main Campus|2 lecture hours.
PHARM 3620|HUMAN PHARMACOLOGY AND THERAPEUTIC PRINCIPLES||Biochemistry 2280A, Biology 2382A/B.Pre-or Corequisite(s): Physiology 3120 is strongly recommended.|A systems-based pharmacology course surveying the range of drugs used to treat disease processes affecting various organs of the body (e.g. cardiovascular disease, neurological diseases, etc.) with emphasis on drug targets, mechanisms of drug action, and adverse effects.|Western Main Campus|2 lecture hours.
PHARM 2060A/B|INTRODUCTORY PHARMACOLOGY AND THERAPEUTICS|Pharmacology 3620, Physiology and Pharmacology 2000.||A course for students in the BSc in Nursing to provide a basic understanding of the fundamentals of drug action and the mechanisms of action and therapeutic use of the important classes of drugs.|Western Main Campus|1 tutorial hour (optional). Only offered online (Distance Studies). Restricted to students in the Bachelor of Science in Nursing.
PERSIAN 2200|INTERMEDIATE PERSIAN|||Combining grammar and communication, students will discuss, read and write about a variety of topics of interest. They will also explore the richness of Persian culture. Audiovisual materials including film and music will be used with short texts and stories.|Western Main Campus|4 hours.
PERSIAN 1035|BEGINNER PERSIAN FOR HERITAGE SPEAKERS|Grade 12U Persian and Persian 1030.||For students with some background in Persian (heritage speakers), this course develops communicative skills, speaking, reading and writing in Persian. Students are enrolled on the basis of a placement test.|Western Main Campus|4 lecture hours.
PERSIAN 1030|PERSIAN (FARSI) FOR BEGINNERS|Grade 12U Persian (Farsi),  Persian 1035.||Introduction of oral and written Persian for students with little or no previous knowledge of the language. Develop your communicative skills while learning about the cultures of the Persian-speaking countries.|Western Main Campus|4 hours.
PATHOL 4980E|SEMINAR AND RESEARCH PROJECT|The former Pathology and Toxicology 4980E.|Pathology 3500 with a mark of at least 70%; and one of the following: (Pharmacology 3620, Physiology 3120, and registration in Year 4 of the Honours Specialization in Pathology), (Microbiology and Immunology 3610F and Microbiology and Immunology 3620G with marks of at least 70% in each and registration in Year 4 of an Honours Specialization in Microbiology and Immunology with Pathology), or (Biochemistry 3380G with a mark of at least 70% and registration in Year 4 of an Honours Specialization in Biochemistry and Pathology of Human Disease).|Includes: i) theory and practice of laboratory techniques, laboratory safety, appropriate use of experimental models, ii) an independent research project supervised by faculty, iii) oral and written communication skills, including the preparation of a research proposal and final written research project report.|Western Main Campus|Minimum 11 laboratory hours per week plus 1 seminar hour per week.
PATHOL 4500B|INTRODUCTION TO FORENSIC SCIENCES||Pathology 3500 with a mark of at least 70%.|Examination of the medicolegal framework investigating the nature and circumstance of certain deaths. These forensic investigations involve experts in different disciplines assisting the coroner and police in resolving cases. Forensic pathology examines the effects of disease, particularly in sudden death, and effects of various external agents on the human body.|Western Main Campus|2 lecture hours.
PATHOL 4450A|MOLECULAR GENETICS OF HUMAN CANCER|Biochemistry 4450A.|Biology 2581A/B; and either Pathology 3500 or Biochemistry 3381A.|Mutation of specific human genes subverts normal cellular physiology creating characteristic alterations called ‘hallmarks’ that fuel the development of cancer. The underlying processes that alter cellular pathways and gene function will be discussed. Cancer models and molecular therapies will be related to the cancer hallmarks.|Western Main Campus|2 lecture hours.Cross-listed with Biochemistry 4450A.
PATHOL 4425A/B|ADVANCED CLINICAL HISTOLOGY|Anatomy and Cell Biology 4425A/B.|A minimum mark of 70% in either Anatomy and Cell Biology 3309 orPathology 3500.|This course focuses on the microscopic evaluation and interpretation of tissue sections obtained from humans and animals. Lectures and laboratory sessions will examine select histology specimens obtained from healthy tissue/organs and from humans and animal models of disease.|Western Main Campus|2 lecture hours, 2 laboratory hours.  Cross-listed with Anatomy and Cell Biology 4425A/B.
PATHOL 4400A/B|ENVIRONMENTAL PATHOLOGY||Pathology 3500 with a mark of at least 70%.|The pathology of occupational and environmental diseases, including information on recent developments and basic mechanisms involved in these diseases. Recognition of occupational and environmental diseases, early diagnosis, mechanisms of cell injury and regeneration, and the effects of a wide variety of toxic drugs, chemicals and UV and ionizing radiation are included.|Western Main Campus|2 lecture hours.
PATHOL 4200A/B|CURRENT CONCEPTS IN THE PATHOGENESIS OF HUMAN DISEASES||Pathology 3500 with a mark of at least 70%.|This course will cover current concepts in the molecular and cellular pathogenesis of selected human diseases. These will include endocrine, metabolic, neuropsychiatric, renal, cardiac and neoplastic diseases, with emphasis on defects in genes and/or the levels of hormones or growth factor receptors, cellular organelles, intracellular signaling pathways, and cellular metabolism.|Western Main Campus|2 lecture hours.
PATHOL 3700F/G|MODERN APPROACHES IN BIOMEDICAL AND PATHOLOGY RESEARCH|Anatomy and Cell Biology 3700F/G.|Biochemistry 2280A and registration in a BMSc degree.Pre-or Corequisite(s): Pathology 3500; Physiology 3120 or Physiology 3140A.|The focus is on the various research approaches, disease models, experimental designs, and analytical methods used to study and evaluate human disease. The course will use contemporary learning tools and a variety of evaluation and assessment methods. Examples will be taken from major diseases such as cancer and neurodegenerative disorders.|Western Main Campus|3 lecture/tutorial hours per week.Cross-listed with Anatomy and Cell Biology 3700F/G.
PATHOL 3500|INTRODUCTION TO HUMAN PATHOLOGY|Pathology 2420A.|Biochemistry 2280A; Biology 2382A/B.|An introduction to human pathology - the study of disease. Students will be introduced to general mechanisms of disease (e.g. inflammation, injury, neoplasia, disturbed hemodynamics). These general processes will be described and applied to specific diseases of organ systems.|Western Main Campus|2 lecture hours.
